variable,date,value1,value2,value3,value4,value5,value6
Transpiration1,12 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,12 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,12 Jan 1991, 0.16978,0.16349,0.17704,0.14435,0.00966,0.00000
Transpiration1,13 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,13 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,13 Jan 1991, 0.12505,0.12944,0.13837,0.11860,0.00831,0.00000
Transpiration1,14 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,14 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,14 Jan 1991, 0.11645,0.13602,0.14513,0.12858,0.00946,0.00000
Transpiration1,15 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,15 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,15 Jan 1991, 0.06376,0.09623,0.10289,0.09390,0.00724,0.00000
Transpiration1,16 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,16 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,16 Jan 1991, 0.04393,0.08570,0.09197,0.08610,0.00694,0.00000
Transpiration1,17 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,17 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,17 Jan 1991, 0.01298,0.04322,0.04660,0.04463,0.00375,0.00000
Transpiration1,18 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,18 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,18 Jan 1991, 0.01414,0.06434,0.06971,0.06809,0.00594,0.00000
Transpiration1,19 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,19 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,19 Jan 1991, 0.00000,0.07771,0.08466,0.08428,0.00763,0.00000
Transpiration1,20 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,20 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,20 Jan 1991, 0.00000,0.07851,0.08645,0.08767,0.00824,0.00000
Transpiration1,21 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,21 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,21 Jan 1991, 0.00000,0.03563,0.03983,0.04111,0.00401,0.00000
Transpiration1,22 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,22 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,22 Jan 1991, 0.04063,0.02570,0.01919,0.01971,0.00198,0.00000
Transpiration1,23 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,23 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,23 Jan 1991, 0.01194,0.00762,0.00513,0.00385,0.00038,0.00000
Transpiration1,24 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,24 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,24 Jan 1991, 0.02891,0.01830,0.01171,0.00879,0.00063,0.00000
Transpiration1,25 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,25 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,25 Jan 1991, 0.03177,0.02974,0.02184,0.02078,0.00113,0.00000
Transpiration1,26 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,26 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,26 Jan 1991, 0.02398,0.02864,0.02539,0.02620,0.00317,0.00000
Transpiration1,27 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,27 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,27 Jan 1991, 0.01420,0.01925,0.01967,0.02236,0.00490,0.00000
Transpiration1,28 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,28 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,28 Jan 1991, 0.01294,0.01659,0.01958,0.02459,0.00807,0.00000
Transpiration1,29 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,29 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,29 Jan 1991, 0.00882,0.01012,0.01309,0.01822,0.00797,0.00000
Transpiration1,30 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,30 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,30 Jan 1991, 0.00590,0.00666,0.00862,0.01318,0.00707,0.00000
Transpiration1,31 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,31 Jan 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,31 Jan 1991, 0.00896,0.01119,0.01403,0.02293,0.01441,0.00000
Transpiration1, 1 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 1 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 1 Feb 1991, 0.00487,0.00755,0.00862,0.01508,0.01068,0.00000
Transpiration1, 2 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 2 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 2 Feb 1991, 0.00299,0.00603,0.00660,0.01183,0.00916,0.00000
Transpiration1, 3 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 3 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 3 Feb 1991, 0.00244,0.00732,0.00790,0.01424,0.01170,0.00000
Transpiration1, 4 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 4 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 4 Feb 1991, 0.00113,0.00740,0.00798,0.01435,0.01223,0.00000
Transpiration1, 5 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 5 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 5 Feb 1991, 0.00000,0.00768,0.00854,0.01480,0.01301,0.00000
Transpiration1, 6 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 6 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 6 Feb 1991, 0.00113,0.00282,0.00320,0.00547,0.00486,0.00000
Transpiration1, 7 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 7 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 7 Feb 1991, 0.00430,0.00319,0.00296,0.00485,0.00425,0.00000
Transpiration1, 8 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 8 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 8 Feb 1991, 0.00332,0.00324,0.00305,0.00487,0.00422,0.00000
Transpiration1, 9 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 9 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 9 Feb 1991, 0.00381,0.00395,0.00410,0.00660,0.00569,0.00000
Transpiration1,10 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,10 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,10 Feb 1991, 0.00156,0.00181,0.00197,0.00325,0.00281,0.00000
Transpiration1,11 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,11 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,11 Feb 1991, 0.00135,0.00177,0.00188,0.00323,0.00281,0.00000
Transpiration1,12 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,12 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,12 Feb 1991, 0.00101,0.00156,0.00165,0.00288,0.00252,0.00000
Transpiration1,13 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,13 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,13 Feb 1991, 0.00107,0.00207,0.00221,0.00389,0.00343,0.00000
Transpiration1,14 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,14 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,14 Feb 1991, 0.00047,0.00145,0.00160,0.00273,0.00244,0.00000
Transpiration1,15 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,15 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,15 Feb 1991, 0.00007,0.00087,0.00098,0.00168,0.00147,0.00000
Transpiration1,16 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,16 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,16 Feb 1991, 0.00070,0.00098,0.00112,0.00192,0.00166,0.00000
Transpiration1,17 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,17 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,17 Feb 1991, 0.00044,0.00078,0.00091,0.00157,0.00134,0.00000
Transpiration1,18 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,18 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,18 Feb 1991, 0.00029,0.00075,0.00089,0.00152,0.00129,0.00000
Transpiration1,19 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,19 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,19 Feb 1991, 0.00016,0.00081,0.00097,0.00166,0.00138,0.00000
Transpiration1,20 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,20 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,20 Feb 1991, 0.00002,0.00051,0.00062,0.00106,0.00087,0.00000
Transpiration1,21 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,21 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,21 Feb 1991, 0.00000,0.00045,0.00055,0.00094,0.00076,0.00000
Transpiration1,22 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,22 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,22 Feb 1991, 0.00000,0.00059,0.00073,0.00126,0.00102,0.00000
Transpiration1,23 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,23 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,23 Feb 1991, 0.00000,0.00029,0.00036,0.00062,0.00049,0.00000
Transpiration1,24 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,24 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,24 Feb 1991, 0.00000,0.00037,0.00047,0.00081,0.00064,0.00000
Transpiration1,25 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,25 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,25 Feb 1991, 0.00000,0.00043,0.00055,0.00093,0.00073,0.00000
Transpiration1,26 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,26 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,26 Feb 1991, 0.00000,0.00044,0.00056,0.00097,0.00074,0.00000
Transpiration1,27 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,27 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,27 Feb 1991, 0.00000,0.00022,0.00029,0.00050,0.00038,0.00000
Transpiration1,28 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,28 Feb 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,28 Feb 1991, 0.00000,0.00014,0.00018,0.00031,0.00024,0.00000
Transpiration1, 1 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 1 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 1 Mar 1991, 0.00000,0.00026,0.00035,0.00061,0.00045,0.00000
Transpiration1, 2 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 2 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 2 Mar 1991, 0.00000,0.00018,0.00025,0.00042,0.00031,0.00000
Transpiration1, 3 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 3 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 3 Mar 1991, 0.00000,0.00018,0.00025,0.00043,0.00031,0.00000
Transpiration1, 4 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 4 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 4 Mar 1991, 0.00000,0.00015,0.00022,0.00037,0.00027,0.00000
Transpiration1, 5 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 5 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 5 Mar 1991, 0.00000,0.00014,0.00020,0.00034,0.00024,0.00000
Transpiration1, 6 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 6 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 6 Mar 1991, 0.00000,0.00016,0.00023,0.00039,0.00027,0.00000
Transpiration1, 7 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 7 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 7 Mar 1991, 0.00000,0.00015,0.00022,0.00038,0.00027,0.00000
Transpiration1, 8 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 8 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 8 Mar 1991, 0.00000,0.00013,0.00020,0.00033,0.00023,0.00000
Transpiration1, 9 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 9 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 9 Mar 1991, 0.00000,0.00012,0.00019,0.00032,0.00022,0.00000
Transpiration1,10 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,10 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,10 Mar 1991, 0.00000,0.00005,0.00008,0.00014,0.00009,0.00000
Transpiration1,11 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,11 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,11 Mar 1991, 0.00000,0.00008,0.00012,0.00021,0.00014,0.00000
Transpiration1,12 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,12 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,12 Mar 1991, 0.00000,0.00004,0.00007,0.00012,0.00008,0.00000
Transpiration1,13 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,13 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,13 Mar 1991, 0.00000,0.00004,0.00007,0.00011,0.00008,0.00000
Transpiration1,14 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,14 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,14 Mar 1991, 0.00000,0.00004,0.00007,0.00012,0.00008,0.00000
Transpiration1,15 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,15 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,15 Mar 1991, 0.00000,0.00003,0.00005,0.00009,0.00006,0.00000
Transpiration1,16 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,16 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,16 Mar 1991, 0.00000,0.00005,0.00009,0.00014,0.00009,0.00000
Transpiration1,17 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,17 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,17 Mar 1991, 0.00000,0.00005,0.00008,0.00013,0.00008,0.00000
Transpiration1,18 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,18 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,18 Mar 1991, 0.00000,0.00004,0.00006,0.00010,0.00007,0.00000
Transpiration1,19 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,19 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,19 Mar 1991, 0.00000,0.00003,0.00006,0.00009,0.00006,0.00000
Transpiration1,20 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,20 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,20 Mar 1991, 0.00000,0.00003,0.00005,0.00008,0.00005,0.00000
Transpiration1,21 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,21 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,21 Mar 1991, 0.00000,0.00002,0.00004,0.00006,0.00004,0.00000
Transpiration1,22 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,22 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,22 Mar 1991, 0.00000,0.00003,0.00005,0.00008,0.00005,0.00000
Transpiration1,23 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,23 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,23 Mar 1991, 0.00000,0.00002,0.00004,0.00007,0.00004,0.00000
Transpiration1,24 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,24 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,24 Mar 1991, 0.00000,0.00001,0.00003,0.00004,0.00003,0.00000
Transpiration1,25 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,25 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,25 Mar 1991, 0.00000,0.00002,0.00003,0.00005,0.00003,0.00000
Transpiration1,26 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,26 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,26 Mar 1991, 0.00000,0.00001,0.00003,0.00004,0.00003,0.00000
Transpiration1,27 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,27 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,27 Mar 1991, 0.00000,0.00002,0.00004,0.00007,0.00004,0.00000
Transpiration1,28 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,28 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,28 Mar 1991, 0.00000,0.00001,0.00002,0.00004,0.00002,0.00000
Transpiration1,29 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,29 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,29 Mar 1991, 0.00000,0.00001,0.00002,0.00003,0.00002,0.00000
Transpiration1,30 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,30 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,30 Mar 1991, 0.00000,0.00000,0.00000,0.00001,0.00000,0.00000
Transpiration1,31 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,31 Mar 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3,31 Mar 1991, 0.00002,0.00001,0.00002,0.00003,0.00002,0.00000
Transpiration1, 1 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 1 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration3, 1 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 2 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 2 Apr 1991, 0.00806,0.00457,0.00662,0.01005,0.00656,0.00000
Transpiration3, 2 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 3 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 3 Apr 1991, 0.01856,0.01235,0.01717,0.02595,0.01691,0.00000
Transpiration3, 3 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 4 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 4 Apr 1991, 0.02601,0.01965,0.02692,0.04053,0.02640,0.00000
Transpiration3, 4 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 5 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 5 Apr 1991, 0.02550,0.02006,0.02714,0.04076,0.02653,0.00000
Transpiration3, 5 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 6 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 6 Apr 1991, 0.04881,0.03926,0.05259,0.07877,0.05126,0.00000
Transpiration3, 6 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 7 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 7 Apr 1991, 0.04255,0.03490,0.04635,0.06932,0.04514,0.00000
Transpiration3, 7 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 8 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 8 Apr 1991, 0.04130,0.03446,0.04546,0.06788,0.04421,0.00000
Transpiration3, 8 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1, 9 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2, 9 Apr 1991, 0.04514,0.03826,0.05018,0.07484,0.04875,0.00000
Transpiration3, 9 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,10 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,10 Apr 1991, 0.06130,0.05267,0.06876,0.10249,0.06678,0.00000
Transpiration3,10 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,11 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,11 Apr 1991, 0.05389,0.04688,0.06098,0.09090,0.05929,0.00000
Transpiration3,11 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,12 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,12 Apr 1991, 0.05849,0.05147,0.06677,0.09954,0.06495,0.00000
Transpiration3,12 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,13 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,13 Apr 1991, 0.08947,0.07956,0.10301,0.15362,0.10033,0.00000
Transpiration3,13 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,14 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,14 Apr 1991, 0.04110,0.03691,0.04773,0.07130,0.04669,0.00000
Transpiration3,14 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,15 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,15 Apr 1991, 0.06078,0.03705,0.04347,0.06480,0.04241,0.00000
Transpiration3,15 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,16 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,16 Apr 1991, 0.14407,0.10057,0.11480,0.17070,0.11163,0.00000
Transpiration3,16 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,17 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,17 Apr 1991, 0.20733,0.15922,0.18243,0.27125,0.17793,0.00000
Transpiration3,17 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,18 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,18 Apr 1991, 0.11594,0.09796,0.11314,0.16867,0.11143,0.00000
Transpiration3,18 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,19 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration2,19 Apr 1991, 0.20983,0.17824,0.20747,0.30977,0.20522,0.00000
Transpiration3,19 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Transpiration1,20 Apr 1991, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
