SimulationName   Clock.Today  PotatoHarvestRule.Script.FinalTag  Potato.Leaf.Live.Nconc  Potato.Stem.Live.Nconc  Potato.Tuber.Live.Nconc  Potato.Leaf.Live.Wt  Potato.Stem.Live.Wt  Potato.Tuber.Live.Wt  Potato.Summariser.Total.Live.Wt  Potato.Leaf.LAI  Potato.Leaf.LiveN  Potato.Stem.Live.N  Potato.Tuber.Live.N  Potato.Total.Live.N  Potato.Tuber.DMconc  Potato.Tuber.LiveFWt  Potato.Summariser.AboveGround.Live.Wt  Potato.Summariser.Aboveground.Live.N  ExtraVariables.Script.AccumTtemerg  Potato.Summariser.AboveGround.Dead.N  Potato.Summariser.AboveGroundDeadWt  Potato.Leaf.SpecificArea
()  (yyyy-mm-dd)  ()  (%)  (%)  (%)  (g/m2)  (g/m2)  (g/m2)  (g/m2)  ()  (g/m2)  (g/m2)  (g/m2)  (g/m2)  (%)  (g/m2)  (g/m2)  (g/m2)  (oCd)  (g/m2)  (g/m2)  (mm^2/g)
FUEFertiliser275split  2000-02-21  *  0.0326  0.0132  0.0146  58.05  170.01  1615.81  1843.86  1.68  1.92  2.29  23.63  27.84  *  *  228.06  0.42  1167.45  *  *  28753.20
FUEFertiliser275split  2000-03-06  *  0.0389  0.0125  0.0157  12.23  137.49  1554.36  1701.03  0.24  0.46  1.79  24.40  25.97  *  *  146.67  0.21  1344.95  *  *  19580.03
FUEFertiliser275split  2000-03-20  *  *  0.0082  0.0140  *  200.27  1693.38  1893.65  *  *  1.56  23.65  23.65  *  *  200.27  *  1501.65  *  *  *
FUEFertiliser275split  2000-04-03  yield  *  *  0.0144  *  104.71  1804.98  1909.70  *  *  *  25.97  25.97  0.229  7896.65  104.71  *  1652.43  *  *  *
FUEFertiliser300early  1999-12-15  *  0.0695  0.0446  0.0195  119.75  56.22  73.44  249.41  3.51  8.29  2.50  1.43  12.22  *  *  175.97  1.08  344.72  *  *  29237.34
FUEFertiliser300early  1999-12-28  *  0.0604  0.0336  0.0165  181.29  106.41  329.79  617.49  5.24  10.93  3.57  5.46  19.96  *  *  287.70  1.45  488.09  *  *  28521.99
FUEFertiliser300early  2000-01-11  *  0.0562  0.0284  0.0163  174.50  201.59  656.11  1032.19  5.77  9.86  5.79  10.73  26.37  *  *  376.08  1.56  652.68  *  *  32673.33
FUEFertiliser300early  2000-01-24  *  0.0513  0.0253  0.0173  142.12  193.39  1037.81  1373.32  4.88  7.30  4.92  17.97  30.18  *  *  335.51  1.22  821.99  *  *  34273.96
FUEFertiliser300early  2000-02-07  *  0.0399  0.0200  0.0154  93.53  201.43  1310.10  1605.05  3.60  3.72  4.08  20.17  27.97  *  *  294.96  0.78  983.99  *  *  38967.64
FUEFertiliser300early  2000-02-21  *  0.0342  0.0165  0.0155  71.72  208.31  1852.52  2132.56  2.13  2.52  3.44  28.66  34.62  *  *  280.04  0.60  1167.45  *  *  29881.56
FUEFertiliser300early  2000-03-06  *  0.0340  0.0114  0.0148  20.96  203.92  1772.47  1997.36  0.63  0.71  2.50  26.34  29.55  *  *  224.89  0.32  1344.95  *  *  29928.85
FUEFertiliser300early  2000-03-20  *  *  0.0118  0.0153  *  137.67  1917.18  2054.85  *  *  1.63  29.48  29.48  *  *  137.67  *  1501.65  *  *  *
FUEFertiliser300early  2000-04-03  yield  *  *  0.0163  *  133.88  1956.17  2090.05  *  *  *  31.76  31.76  0.224  8727.73  133.88  *  1652.43  *  *  *
FUEFertiliserNil  1999-12-15  *  0.0577  0.0311  0.0154  91.91  49.15  75.45  216.52  2.88  5.28  1.51  1.15  7.94  *  *  141.07  0.68  344.72  *  *  31164.09
FUEFertiliserNil  1999-12-28  *  0.0447  0.0146  0.0111  133.76  77.75  338.51  550.02  3.51  5.98  1.14  3.75  10.87  *  *  211.51  0.71  488.09  *  *  26215.33
FUEFertiliserNil  2000-01-11  *  0.0396  0.0070  0.0094  112.98  102.04  743.21  958.23  3.17  4.49  0.71  7.00  12.21  *  *  215.02  0.52  652.68  *  *  27987.95
FUEFertiliserNil  2000-01-24  *  0.0346  0.0065  0.0084  110.12  86.81  1017.84  1214.77  3.43  3.81  0.57  8.55  12.94  *  *  196.93  0.44  821.99  *  *  31018.77
FUEFertiliserNil  2000-02-07  *  0.0294  0.0064  0.0076  90.41  89.05  1451.56  1631.02  2.53  2.69  0.57  10.98  14.24  *  *  179.46  0.33  983.99  *  *  28100.21
FUEFertiliserNil  2000-02-21  *  0.0339  0.0062  0.0085  31.44  106.56  1601.22  1739.22  0.80  1.08  0.65  13.45  15.18  *  *  138.00  0.17  1167.45  *  *  25809.16
FUEFertiliserNil  2000-03-06  *  *  0.0053  0.0082  *  70.76  1432.96  1503.72  *  *  0.38  11.81  11.81  *  *  70.76  *  1344.95  *  *  *
FUEFertiliserNil  2000-03-20  *  *  *  0.0082  *  86.49  1393.58  1480.07  *  *  *  11.49  11.49  *  *  86.49  *  1501.65  *  *  *
FUEFertiliserNil  2000-04-03  yield  *  *  0.0083  *  68.96  1502.68  1571.64  *  *  *  12.58  12.58  0.253  5944.85  68.96  *  1652.43  *  *  *
PYMCultivarBurbankSowingDec98  1998-12-30  *  *  *  *  2.76  2.65  0.00  5.41  0.05  *  *  *  *  *  *  5.41  *  0.00  *  *  18295.55
PYMCultivarBurbankSowingDec98  1999-01-11  *  *  *  *  38.52  29.94  0.00  68.83  0.75  *  *  *  *  *  *  68.83  *  118.37  *  *  19520.49
PYMCultivarBurbankSowingDec98  1999-01-25  *  *  *  *  101.38  114.54  2.12  221.07  3.16  *  *  *  *  0.134  15.96  218.95  *  328.52  *  *  30215.26
PYMCultivarBurbankSowingDec98  1999-02-23  *  *  *  *  129.34  246.15  289.11  668.73  4.65  *  *  *  *  0.166  1740.11  379.62  *  735.16  *  *  35993.85
PYMCultivarBurbankSowingDec98  1999-04-20  *  *  *  *  2.79  103.20  762.88  870.07  0.06  *  *  *  *  0.191  4002.62  107.19  *  1478.88  *  *  21470.84
PYMCultivarBurbankSowingDec98  1999-02-08  *  *  *  *  151.57  203.64  110.68  471.78  4.95  *  *  *  *  0.162  682.94  361.10  *  524.49  *  *  30480.20
PYMCultivarBurbankSowingDec98  1999-03-09  *  *  *  *  150.47  315.03  494.96  963.83  4.72  *  *  *  *  0.187  2646.89  468.87  *  933.90  *  *  31518.34
PYMCultivarBurbankSowingDec98  1999-03-22  *  *  *  *  114.28  333.30  817.74  1269.26  3.92  *  *  *  *  0.189  4329.19  451.52  *  1117.96  *  *  34425.95
PYMCultivarBurbankSowingDec98  1999-04-06  *  *  *  *  68.44  248.04  930.01  1249.77  2.04  *  *  *  *  0.185  5017.22  319.75  *  1327.79  *  *  30099.95
PYMCultivarBurbankSowingDec98  1999-05-04  yield  *  *  *  *  *  1097.28  1097.28  *  *  *  *  *  0.196  5619.75  *  *  1640.03  *  *  *
PYMCultivarBurbankSowingNov98  1998-12-21  *  *  *  *  16.05  13.94  1.76  32.57  1.17  *  *  *  *  0.155  11.78  30.81  *  188.25  *  *  71222.32
PYMCultivarBurbankSowingNov98  1999-01-05  *  *  *  *  127.48  129.28  60.90  322.81  3.21  *  *  *  *  0.156  386.89  261.91  *  390.69  *  *  24998.94
PYMCultivarBurbankSowingNov98  1999-01-18  *  *  *  *  153.35  248.60  217.54  625.11  5.66  *  *  *  *  0.156  1394.25  407.57  *  575.61  *  *  36704.21
PYMCultivarBurbankSowingNov98  1999-02-01  *  *  *  *  144.13  286.45  338.85  775.87  5.04  *  *  *  *  0.173  1948.56  437.02  *  778.99  *  *  34612.52
PYMCultivarBurbankSowingNov98  1999-02-15  *  *  *  *  165.31  311.46  546.02  1028.89  6.00  *  *  *  *  0.184  2945.62  482.87  *  976.95  *  *  36400.70
PYMCultivarBurbankSowingNov98  1999-03-16  *  *  *  *  109.97  304.83  1251.49  1673.71  3.43  *  *  *  *  0.205  6074.72  422.22  *  1388.71  *  *  31355.56
PYMCultivarBurbankSowingNov98  1999-04-12  *  *  *  *  14.43  119.83  1354.70  1491.10  0.30  *  *  *  *  0.197  6870.53  136.40  *  1749.47  *  *  19862.47
PYMCultivarBurbankSowingNov98  1999-03-02  *  *  *  *  159.17  344.08  953.59  1461.54  4.94  *  *  *  *  0.205  4654.70  507.96  *  1181.74  *  *  30853.01
PYMCultivarBurbankSowingNov98  1999-03-29  *  *  *  *  45.57  226.32  1322.04  1599.71  1.21  *  *  *  *  0.201  6558.22  277.67  *  1566.64  *  *  26485.31
PYMCultivarBurbankSowingNov98  1999-04-26  yield  *  *  *  0.00  0.00  1318.51  1318.51  0.00  *  *  *  *  0.198  6672.50  0.00  *  1903.39  *  *  100.00
PYMCultivarBurbankSowingNov99  1999-11-30  *  *  *  *  7.15  8.13  0.00  15.27  0.15  *  *  *  *  *  *  15.27  *  31.15  *  *  20661.37
PYMCultivarBurbankSowingNov99  1999-12-13  *  *  *  *  49.99  29.55  2.83  82.37  1.27  *  *  *  *  0.132  20.30  79.53  *  198.23  *  *  25337.87
PYMCultivarBurbankSowingNov99  1999-12-29  *  *  *  *  133.00  90.12  137.08  360.20  3.06  *  *  *  *  0.159  860.73  223.12  *  401.98  *  *  23009.00
PYMCultivarBurbankSowingNov99  2000-01-10  *  *  *  *  167.41  146.73  331.27  645.41  5.07  *  *  *  *  0.164  2013.53  314.13  *  570.48  *  *  30258.03
PYMCultivarBurbankSowingNov99  2000-01-24  *  *  *  *  194.06  229.67  743.85  1167.57  6.35  *  *  *  *  0.187  3969.30  423.73  *  756.08  *  *  32327.32
PYMCultivarBurbankSowingNov99  2000-02-07  *  *  *  *  209.97  209.21  979.21  1398.40  6.19  *  *  *  *  0.195  4999.25  419.18  *  931.76  *  *  29573.17
PYMCultivarBurbankSowingNov99  2000-02-21  *  *  *  *  196.98  207.07  1343.19  1747.25  5.45  *  *  *  *  0.208  6409.78  404.05  *  1124.58  *  *  27680.31
PYMCultivarBurbankSowingNov99  2000-03-06  *  *  *  *  169.19  202.78  1632.29  2004.27  4.43  *  *  *  *  0.208  7859.76  371.97  *  1304.53  *  *  26125.24
PYMCultivarBurbankSowingNov99  2000-03-20  *  *  *  *  96.08  147.32  1831.78  2015.55  2.28  *  *  *  *  0.223  8164.89  245.04  *  1478.45  *  *  22990.85
PYMCultivarBurbankSowingNov99  2000-04-03  *  *  *  *  60.83  156.21  1924.62  2141.66  1.37  *  *  *  *  0.210  9134.21  217.04  *  1654.30  *  *  22521.56
