SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-11  3.70
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-15  4.83
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-18  6.43
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-22  7.83
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-25  9.07
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-03  10.77
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-07  11.87
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-11  12.21
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-14  12.76
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-18  13.62
Lincoln1993Sowing19Jan1994CultivarMassey  1994-03-22  14.50
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-01  1.40
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-04  1.90
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-08  2.90
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-11  3.97
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-15  4.97
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-18  6.23
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-22  7.77
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-02-25  9.07
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-03  11.67
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-07  13.17
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-11  14.03
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-14  14.90
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-18  16.27
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-22  16.83
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-03-30  18.14
Lincoln1993Sowing19Jan1994CultivarTrounce  1994-04-06  19.72
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-01  1.43
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-04  2.00
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-08  3.00
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-11  4.03
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-15  5.00
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-18  6.73
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-22  7.80
Lincoln1993Sowing19Jan1994CultivarRovar  1994-02-25  9.03
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-03  11.87
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-07  13.57
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-11  14.43
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-14  15.50
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-18  16.77
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-22  17.34
Lincoln1993Sowing19Jan1994CultivarRovar  1994-03-30  18.36
Lincoln1993Sowing19Jan1994CultivarRovar  1994-04-06  20.06
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-01  2.23
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-04  2.87
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-08  3.73
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-11  4.70
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-15  6.03
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-18  7.43
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-22  9.00
Lincoln1993Sowing19Jan1994CultivarWhero  1994-02-25  10.60
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-03  13.50
