SimulationName OldName Clock.Today FodderBeet.Phenology.Stage FodderBeet.Phenology.StageX FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.Live.Wt FodderBeet.Petiole.Live.Wt FodderBeet.Leaf.Live.Wt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.Leaf.LAI FodderBeet.Leaf.PlantAppearedGreenLeafNo FodderBeet.Leaf.PlantAppearedLeafNo FodderBeet.Leaf.PlantSenescedLeafNo FodderBeet.Leaf.CoverGreen
() () () () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2) () () () (0-1)
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-12-11 * * * * * * * * * * 15.4 18.6 3.2 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-12-18 * * * * * * * * * * 17.3 21.2 3.9 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-12-26 * * * * * * * * * * 20.0 25.1 5.1 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-01-02 * * * * * * * * * * 21.7 27.7 6.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-01-08 * * * * * * * * * * 22.7 30.3 7.6 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-01-16 * * * * * * * * * * 23.0 30.9 7.9 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-01-22 * * * * * * * * * * 23.8 33.3 9.6 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-01-29 * * * * * * * * * * 24.6 35.3 9.7 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-02-03 * * * * * * * * * * 23.3 36.6 9.6 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-02-10 * * * * * * * * * * 23.7 38.2 12.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-02-19 * * * * * * * * * * 23.5 40.8 15.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-02-25 * * * * * * * * * * 24.5 43.0 16.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-03-04 * * * * * * * * * * 24.0 44.9 25.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-03-12 * * * * * * * * * * 25.5 47.8 20.2 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-03-18 * * * * * * * * * * 23.3 49.3 23.7 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-03-25 * * * * * * * * * * 24.3 51.6 21.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-04-01 * * * * * * * * * * 24.3 54.1 23.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-04-09 * * * * * * * * * * 23.0 56.6 26.1 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-04-15 * * * * * * * * * * 23.0 57.2 27.1 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-04-23 * * * * * * * * * * 23.5 60.2 33.2 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-04-30 * * * * * * * * * * 25.8 62.6 28.3 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-05-07 * * * * * * * * * * 26.3 64.6 29.9 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2015-05-14 * * * * * * * * * * 23.3 65.1 33.0 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-11-27 * * * * * * * * * * 3.4 3.4 0 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-04 * * * * * * * * * * 4.7 4.7 0 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-11 * * * * * * * * * * 7.1 7.1 0 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-18 * * * * * * * * * * 8.6 9 0.4 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-26 * * * * * * * * * * 13.2 14.2 1 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-02 * * * * * * * * * * 15.3 18.3 3 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-08 * * * * * * * * * * 17.1 20.6 3.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-16 * * * * * * * * * * 19.7 23.8 4.1 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-22 * * * * * * * * * * 20.6 26 5.4 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-29 * * * * * * * * * * 22 28.5 6.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-03 * * * * * * * * * * 23.5 30.1 7.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-10 * * * * * * * * * * 25 31.8 8 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-19 * * * * * * * * * * 25.3 34.1 9.8 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-25 * * * * * * * * * * 26.3 36.5 11.3 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-04 * * * * * * * * * * 26.7 37.9 12.3 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-12 * * * * * * * * * * 26.2 41.4 16.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-18 * * * * * * * * * * 25.5 43.1 19.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-25 * * * * * * * * * * 26.2 44.2 19.8 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-01 * * * * * * * * * * 27.2 46.8 21.7 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-09 * * * * * * * * * * 26.8 49.4 24.5 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-15 * * * * * * * * * * 26.7 50 25.2 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-23 * * * * * * * * * * 27.3 51.5 26 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-30 * * * * * * * * * * 28.7 53.8 26.8 *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-07 * * * * * * * * * * 30.2 55.6 27.2 *
